,,,,,,,
ISO 9001:2015 CERTIFIED,,,,,,,
CUSTOMS AND BORDER CONTROL DEPARTMENT,,,,,,,
MODEL,Engine Capacity,Body Type ,Drive configuration,seating,Fuel,GVW,CRSP(KES) 
ALFA ROMEO,,,,,,,
,,,,,,,
RX8 R3 AUTO,1300,Coupe,2WD,,Petrol,,"4,837,446"
RUSTLER ,1300,S/CABIN,2WD,,Petrol,,"1,649,600"
TITAN S/CAB,1990,SCAB,2WD,,Petrol,,"1,400,000"
T 3500 C/CAB,3455,TRK,2WD,,Petrol,5.9t,"2,917,000"
T4000 TRUCK,4021,TRK,2WD,,Diesel, ,"3,025,117"
TRIBUTE,2960,S/WAGON,4WD,,Petrol, ,"5,495,000"
TRIBUTE,2300,S/WAGON,4WD,,Petrol,,"4,910,229"
TRIBUTE,2000,S/WAGON,2WD,,Petrol, ,"4,269,764"
TRIBUTE,2500,S/WAGON,4WD,,Petrol, ,"5,337,206"
T400 MANYANGA,4021,BUS,2WD,,Diesel,,"3,457,276"
T350 MANYAGA,3500,M/BUS,2WD,,Diesel,29t,"3,025,117"
Scrub,660,Van,2WD,,Petrol,,"1,561,270"
VERISA,1500,S/WAGON,2WD,,Petrol,,"1,670,591"
MERCEDES,,,,,,,
,,,,,,,
Mercedes smart car,590,HATCHBACK,2WD,,Petrol,,"1,056,000"
Mercedes Benz 911,5500,TRK,4WD,,Diesel,,"4,265,863"
Mercedes Benz 911,7260,TRK,4WD,,Diesel,,"6,630,500"
A150 Classic,1498,HATCHBACK,2WD,,Petrol, ,"2,628,000"
A150 Elegance,1498,HATCHBACK,2WD,,Petrol, ,"2,810,500"
A160 Elegance,1600,HATCHBACK,2WD,,Petrol, ,"3,001,869"
A170 Elegance SE,1700,HATCHBACK,2WD,,Petrol,,"3,189,485"
A180,1300,HATCHBACK,2WD,,Petrol,,"6,302,267"
A190 (GF 168032),1890,HATCHBACK,2WD,,Petrol, ,"3,379,667"
A200 (HIGH SPECS),2000,HATCHBACK,2WD,,Petrol,,"6,364,800"
A200 (LOW SPECS),2000,HATCHBACK,2WD,,Petrol,,"6,084,000"
B170,1690,HATCHBACK,2WD,,Petrol, ,"3,189,485"
B180,1600,HATCHBACK,2WD,,Petrol, ,"3,189,485"
B200 CDI,2000,HATCHBACK,2WD,,Diesel,,"5,145,200"
ACTROS 1835/1840,435hp,PM,6X4,,Diesel,,"7,000,000"
ACTROS 2031,313HP,PM,4X2,,Diesel,,"11,129,652"
ACTROS 2040S 4X2 V6 LA 349HP,11946,PM,4X2,,Diesel,,"12,071,758"
ACTROS 2031 4X2 V6 LA 313HP - Classique,313HP,PM,4X2,,Diesel,,"10,491,156"
ACTROS 2040S 4X2 V6 LA 349HP - Premium,394HP,PM,4X2,,Diesel,,"11,318,697"
ACTROS 2540,11946,PM,6X4,,Diesel,,"8,000,000"
ACTROS 2542,12809,PM,6X2,,Diesel,,"8,567,823"
ACTROS 2545,12809,PM,6X2,,Diesel,,"8,577,934"
ACTROS 2554,15000,PM,6X2,,Diesel,,"10,045,988"
ACTROS 3330,11946,PM,6X4,,Diesel,,"10,626,951"
ACTROS 3331S 6X4 V6 LA 313HP CLASSIQUE,313HP,PM,6X4,,Diesel,,"13,125,124"
ACTROS 3331S 6X4 V6 LA 313HP PREMIUM,313HP,PM,6X4,,Diesel,,"13,352,407"
ACTROS 3331S 6X4 V6 LA 394HP PREMIUM,11949,PM,6X4,,Diesel,,"11,052,711"
ACTROS 3340S 6X4 V6 LA 394HP PREMIUM,11946,PM,6X4,,Diesel,,"13,685,332"
ACTROS 3340S 6X4  V6 LA 394HP CLASSIQUE,11946,PM,6X4,,Diesel,,"13,812,835"
ACTROS 3348S 6X4  V6 LA 476HP PREMIUM,476HP,PM,6X4,,Diesel,,"15,144,046"
ACTROS 3348S 6X4 LOWER SPECS V8 LA 476HP,11946,PM,6X4,,Diesel,,"15,401,983"
ACTROS 3331B 6X4 CONCRETE MIXER,7000,TRK,6X4,,Diesel,,"12,408,347"
ACTROS 3331K 6X4,16000,TIPPER,6X4,,Diesel,,"21,308,649"
AXOR 2543,11967,PM,6x2,,Diesel,,"7,471,450"
AXOR 2633,7201,TRK,6X4,,Diesel,,"7,572,023"
AXOR 2640,11967,PM,6X2,,Diesel,,"7,471,450"
AXOR 3236K,323HP,TRK,8X4,,Diesel,,"11,235,905"
AXOR 1824,6370,TRK,4x2,,Diesel,,"6,698,207"
AXOR 1843,11967,TRK,4x2,,Diesel,,"7,866,000"
AXOR 1843,11967,PM,4x2,,Diesel,,"7,266,000"
ATEGO 1823 ,6370,TRK,4WD,,Diesel,18t,"9,600,000"
ATEGO 1017 ,4250,TRK,4WD,,Diesel,10t,"5,619,467"
815 Atego,4250,TRK,4WD,,Diesel,8t,"4,265,863"
Atego Lorry,6000,TRK,4WD,,Diesel,9.5t,"6,022,395"
ATEGO 1528,4250,TRK,4x2,,Diesel,15t,"8,973,552"
ATEGO 2628 ,6374,TRK,6x4,,Diesel,26t,"12,403,076"
G63  AMG  ,5500,EST,4X4,,Petrol,,"29,921,703"
G63  AMG  SPEEDSHIFT TCT 9G,4000,EST,2WD,,Petrol,,"39,463,908"
C180 Keyless go comfort package,1595,SALOON,2WD,,Petrol,,"7,008,300"
C180 Classic,1796,SALOON,2WD,,Petrol, ,"4,449,350"
C180 Kompressor,1796,SALOON,2WD,,Petrol, ,"4,790,320"
C180 CGI ,1796,SALOON,2WD,,Petrol, ,"7,554,128"
C180 CGI Blue Efficiency AUTO CLASSIC(W204),1597,SALOON,2WD,,Petrol,,"6,717,117"
"C180 9G  TRONIC, ARTICO",1500,SALOON,2WD,,Petrol,,"7,534,019"
C200 CDI SE Blue Efficiency ,2143,SALOON,2WD,,Diesel,,"8,728,968"
C200K (Upto 2007),1798,SALOON,2WD,,Petrol,,"5,299,800"
C200K  (Upto 2007),1998,SALOON,2WD,,Petrol, ,"5,299,800"
C200K ELEGANCE,1790,SALOON,2WD,,Petrol,,"7,315,551"
C200 (W204),1796,SALOON,2WD,,Petrol,,"7,315,551"
C200  9G TRONIC,2000,SALOON,2WD,,Petrol,,"9,447,421"
C220,2199,SALOON,2WD,,Petrol,,"5,664,610"
C230 KOMPRSSOR,1800,SALOON,2WD,,Petrol,,"5,213,307"
C230K SPORT MANUAL,1800,SALOON,2WD,,Petrol,,"5,848,597"
C230 KOMPRSSOR,2300,SALOON,2WD,,Petrol,,"6,600,000"
C240,2400,SALOON,2WD,,Petrol,,"5,817,897"
C250,1800,Coupe,2WD,,Diesel,,"5,060,512"
C250K Avant Garde,1800,SALOON,2WD,,Petrol,,"6,201,000"
C250 CDI,2143,SALOON,2WD,,Diesel,,"6,024,821"
C280 ELEGANCE AUTO,2800,SALOON,2WD,,Petrol,,"6,342,279"
C280 T MODEL,2800,SALOON,2WD,,Petrol,,"5,959,392"
C280 SEDAN,2800,SALOON,2WD,,Petrol,,"5,717,069"
C320 ELEGANCE,2987,SALOON,2WD,,Petrol,,"7,174,160"
C350,3500,SALOON,2WD,,Petrol,,"9,067,898"
C63 AMG V8 AUTO,6300,SALOON,2WD,,Petrol,,"14,906,717"
C180,1595,SALOON,2WD,,Petrol,,"7,156,783"
C200 Exclusive,1991,SALOON,2WD,,Petrol,,"8,014,500"
C200 Avantgarde,1991,SALOON,2WD,,Petrol,,"8,014,500"
CLA 200,1595,SALOON,2WD,,Petrol,,"7,401,042"
CLA 250,1991,SALOON,2WD,,Petrol,,"7,895,666"
CITAN CDI 109,1490,VAN,2WD,,Diesel,,"2,155,000"
190E,1997,SALOON,2WD,,Petrol,,"3,801,673"
E 200K Automatic,1798,SALOON,2WD,,Petrol, ,"6,679,500"
E 200K Manual,1998,SALOON,2WD,,Petrol, ,"6,387,500"
E200 SEDAN,2000,SALOON,2WD,,Petrol,,"4,835,969"
E200 258HP Tronic plus automatic gearbox,1991,SALOON,2WD,,Petrol,,"10,370,400"
E200T MODEL,2000,SALOON,2WD,,Petrol,,"5,200,693"
E200 184HP 9G-TRONIC ARTICO,2000,SALOON,2WD,,Petrol,,"12,257,729"
E200 CGI(184HP) AUTO,1796,SALOON,2WD,,Petrol,,"8,536,845"
E200 CGI(184HP) AUTO,1991,SALOON,2WD,,Petrol,,"9,658,974"
E220D SEDAN,2200,SALOON,2WD,,Diesel,,"5,023,574"
E220D CDI,2200,SALOON,2WD,,Diesel,,"8,536,845"
E220 CDI AMG COUPE,2200,SALOON,2WD,,Diesel,,"9,145,000"
E230 T SEDAN,2496,SALOON,2WD,,Petrol,,"5,971,059"
E230K AUTO,2496,SALOON,2WD,,Petrol,,"6,239,955"
E230 MANUAL,2496,SALOON,2WD,,Petrol,,"6,093,604"
E 240 Auto,2600,SALOON,2WD,,Petrol,,"7,500,000"
E250 Tronic plus automatic gearbox,1991,SALOON,2WD,,Petrol,,"11,407,500"
E250D SEDAN,3000,SALOON,2WD,,Diesel,,"5,813,588"
E250 CGI(204HP),3000,SALOON,2WD,,Petrol,,"8,976,511"
E250 CGI(211HP) AUTO,3000,SALOON,2WD,,Petrol,,"9,098,640"
E250 CDI-A BLUE EFFICIENCY,2100,SALOON,2WD,,Diesel,,"9,098,640"
E250 CDI AMG SPORT,2143,SALOON,2WD,,Diesel,,"9,284,946"
E250 CGI,1800,SALOON,2WD,,Petrol,,"9,098,640"
E270 CDI,2700,SALOON,2WD,,Diesel,,"9,251,699"
E280 AUTO,3000,SALOON,2WD,,Petrol, ,"7,482,500"
E280 MANUAL,3000,SALOON,2WD,,Petrol,,"6,384,544"
E300 AUTO,2996,SALOON,2WD,,Petrol,,"9,403,964"
E300,2000,SALOON,2WD,,Petrol,,"13,991,749"
E300 (252HP) AUTO,3498,SALOON,2WD,,Petrol,,"10,571,968"
E320 AUTO,3200,SALOON,2WD,,Petrol,,"9,865,522"
E350 Auto v6,3500,SALOON,2WD,,Petrol,,"10,292,300"
E350 CDI BlueTec Auto,3000,SALOON,2WD,,Diesel,,"10,130,796"
E400 ,3200,SALOON,2WD,,Petrol,,"11,504,300"
E500 W211/212 AVANTGARDE,5461,SALOON,2WD,,Petrol,,"17,009,380"
E350 A207 BLUEEFF ELEGANCE,3500,Coupe,2WD,,Diesel,,"18,688,650"
E43 AMG Biturbo V8 4Matic Auto,3000,SALOON,4wd,,Petrol,,"9,403,964"
E63 AMG Biturbo V8 4Matic 7spn  Auto,5500,SALOON,4WD,,Petrol,,"15,600,960"
E63 AMG Biturbo V8 4Matic Auto,5500,S/WAGON,4WD,,Petrol,,"13,174,144"
E63 AMG Biturbo V12 Auto,6200,SALOON,4WD,,Petrol,,"17,585,749"
G 300 Proffessional,2987,S/WAGON,4WD,,Diesel,,"21,996,000"
GL320 CDI,2987,S/WAGON,4WD,,Diesel,,"10,736,386"
GL350 CDI,3000,S/WAGON,4WD,,Diesel,,"17,862,524"
GL420 CDI,4000,S/WAGON,4WD,,Diesel,,"14,376,718"
GL450 CDI V8,4600,S/WAGON,4WD,,Diesel,,"15,059,260"
GL550 CDI V8,5500,S/WAGON,4WD,,Diesel,,"15,808,573"
GL63 AMG,5500,S/WAGON,4WD,,Petrol,,"16,427,253"
GLA 200,2143,S/WAGON,4WD,,Diesel,,"7,846,814"
GLA WITH SUNROOF,2000,S/WAGON,4WD,,Diesel,,"8,849,482"
GLA 250 4MATIC SUV,1991,S/WAGON,4WD,,Petrol,,"7,895,666"
GLB200 5 seater ,1300,S/WAGON,4WD,,Petrol,,"7,773,194"
GLB200 5 seater with sunroof,1300,S/WAGON,4WD,,Petrol,,"8,012,369"
GLB200 7 seater with sunroof,1300,S/WAGON,4WD,,Petrol,,"8,311,338"
GLB250 5seater,2000,S/WAGON,4WD,,Petrol,,"9,592,000"
GLB250 7 seater with sunroof,2000,S/WAGON,4WD,,Petrol,,"10,523,709"
glc 220d,2143,S/WAGON,4WD,,Diesel,,"11,721,000"
GLC 250 4MATIC SUV,1991,S/WAGON,4WD,,Petrol,,"10,301,615"
GLC 250 4MATIC ,1991,Coupe,4WD,,Petrol,,"10,518,300"
GLC 300 4MATIC ,2000,S/WAGON,4WD,,Petrol,,"13,035,048"
GLC 300 4MATIC ,2000,Coupe,4WD,,Petrol,,"13,274,224"
GLE 250 4MATIC SUV,2996,S/WAGON,4WD,,Petrol,,"14,800,500"
GLE 400 4MATIC,2996,Coupe,4WD,,Petrol,,"16,383,501"
GLE 450 4MATIC,2996,Coupe,4WD,,Petrol,,"16,144,326"
GLE63 AMG 4matic,5500,S/WAGON,4WD,,Petrol,,"28,103,086"
GLS 350D,2987,S/WAGON,4WD,,Diesel,,"18,954,000"
GLS 450,3000,S/WAGON,4WD,,Petrol,,"17,818,552"
GLS 500,4663,S/WAGON,4WD,,Petrol,,"22,230,000"
GLS 580,4000,S/WAGON,4WD,,Petrol,,"22,721,644"
S280 SEDAN,2800,SALOON,2WD,,Petrol,,"8,288,977"
S320 MANUAL,3200,SALOON,2WD,,Petrol,,"11,451,844"
S320 AUTO,3200,SALOON,2WD,,Petrol,,"11,820,530"
S320  SEDAN LWB(LONG WHEEL BASE),3200,SALOON,2WD,,Petrol,,"12,230,588"
S300L,3000,SALOON,2WD,,Petrol,,"9,968,000"
S350L,3499,SALOON,2WD,,Petrol,,"14,316,351"
S350L,3724,SALOON,2WD,,Petrol,,"15,134,428"
S350L CDI V6 BLUE EFFICIENCY,3000,SALOON,2WD,,Diesel,,"15,831,834"
S400 HYBRID V6,3500,SALOON,2WD,,Petrol,,"17,022,479"
S300 HYBRID,2140,SALOON,2WD,,Petrol,,"14,664,695"
S420,4200,SALOON,2WD,,Petrol,,"15,514,446"
S450 V6 9G TRONIC,3000,SALOON,2WD,,Petrol,,"21,764,943"
S500 AUTO ,5000,SALOON,2WD,,Petrol,,"16,259,214"
S550 SEDAN V8,4600,SALOON,2WD,,Petrol,,"17,513,601"
S560 V8 9G-TRONIC,4000,SALOON,2WD,,Petrol,,"25,472,159"
S600 TWIN TURBO V12,5500,SALOON,2WD,,Petrol,,"29,559,994"
S63 AMG BI-TURBO V8,5500,SALOON,2WD,,Petrol,,"25,816,345"
S65 AMG BI-TURBO V12,6000,SALOON,2WD,,Petrol,,"39,085,910"
CL420 COUPE,4200,Coupe,2WD,,Petrol,,"17,696,347"
CL500 COUPE,5000,Coupe,2WD,,Petrol,,"18,356,396"
CL600 COUPE,6000,Coupe,2WD,,Petrol,,"23,563,937"
CLK230 K COUPE,2300,Coupe,2WD,,Petrol,,"5,880,149"
CLK320 COUPE,3200,Coupe,2WD,,Petrol,,"8,853,798"
CLS250 CDI Blue Efficiency Auto,2500,SAL,2WD,,Diesel,,"9,141,000"
CLS 320 CDI,2987,Coupe,2WD,,Diesel,,"10,629,064"
CLS 350 CDI BlueEfficiency V6,3500,Coupe,2WD,,Diesel,,"11,478,623"
CLS 350 V6,3500,Coupe,2WD,,Petrol,,"13,383,141"
CLS 500 BlueEfficiency V6,4995,Coupe,2WD,,Petrol,,"14,077,406"
CLS 450 AT,3000,Coupe,2WD,,Petrol,,"17,628,000"
CLS 550 AT,4660,Coupe,2WD,,Petrol,,"27,382,160"
CLS 63 AMG AUTO,5500,Coupe,2WD,,Petrol,,"18,317,369"
ML 250 CDI BLUETECH,2100,S/WAGON,2WD,,Diesel,,"9,118,693"
ML 270 CDI,2700,S/WAGON,2WD,,Diesel,,"12,910,774"
ML 280 CDI V6,3000,S/WAGON,4WD,,Diesel,,"13,388,951"
ML 300 TURBO INTERCOOLER 6 CYL Low Spec auto,3000,S/WAGON,4WD,,Diesel, ,"12,172,979"
ML 320 CDI,3000,S/WAGON,4WD,,Diesel,,"13,255,581"
ML 350 CDI,3499,S/WAGON,4WD,,Diesel,,"13,496,129"
ML 350 CDI TURBO INTERCOOLER 6 CYL HIGH SPECS,3500,S/WAGON,4WD,,Diesel,,"15,216,224"
ML 350 Petrol,3500,S/WAGON,4WD,,Petrol,,"13,496,129"
ML 350 V6 BlueEfficiency,3500,S/WAGON,4WD,,Diesel, ,"15,613,169"
ML 430,4260,S/WAGON,4WD,,Diesel,,"16,824,777"
ML 500,5000,S/WAGON,4WD,,Diesel,,"14,701,738"
ML 550 V8,4600,S/WAGON,4WD,,Diesel,,"10,673,103"
SEL 300,3000,S/WAGON,4WD,,Diesel, ,"14,840,199"
SL320 RS,3200,SALOON,4WD,,Diesel,,"14,593,515"
SL500 RS,5000,Coupe,4WD,,Diesel,,"17,920,590"
SL500 RS,4600,Coupe,4WD,,Petrol,,"18,417,800"
SL550 RS AUTO,4600,Coupe,4WD,,Petrol,,"19,552,222"
SL600 RS,6000,SALOON,4WD,,Diesel,,"22,852,755"
SLC300,1991,Coupe,2WD,,Petrol,,"11,450,103"
SLK200,2199,SALOON,2WD,,Petrol, ,"6,632,273"
SLK200,2000,Coupe,2WD,,Petrol,,"6,032,081"
SLK230,2300,Coupe,2WD,,Petrol,,"7,238,221"
SLK 250 RS,1800,Coupe,2WD,,Petrol,,"7,270,856"
SLS AMG V8 RS,6300,Coupe,2WD,,Petrol,,"7,877,245"
MB 313 Sprinter van,2148,VAN,2WD,,Diesel,,"3,387,780"
MB 308 Sprinter van,2148,VAN,2WD,,Diesel,,"3,852,000"
MB 413 Van,2148,M/BU,2WD,,Diesel, ,"3,772,755"
Mercedes MB,5300,M/BU,2WD,,Diesel,,"6,650,000"
Viano V220D 7G-TRONIC PLUS,2200,MPV,2WD,,Diesel,,"14,892,000"
Vito,2000,VAN,2WD,,Diesel,,"10,424,000"
MINI,,,,,,,
,,,,,,,
Mini one,1397,HATCHBACK,2WD,,Petrol,,"4,575,520"
MITSUBISHI,,,,,,,
,,,,,,,
Airtrek 4G63,2000,S/WAGON,2WD,,Petrol,,"2,732,750"
Airtrek 4G64,2400,S/WAGON,2WD,,Petrol,,"3,309,900"
Carisma,1830,S/WAGON,2WD,,Petrol,,"1,978,380"
Colt 1.3L,1300,S/WAGON,2WD,,Petrol,,"1,600,000"
Colt 1.5L,1500,S/WAGON,2WD,,Petrol,,"1,998,800"
Colt Plus,1500,S/WAGON,2WD,,Petrol,,"2,046,826"
Canter FE515 B8RB12,3568,TRK,4x2,,Diesel,4.3T,"2,174,520"
Canter FE635 E6RB11,3567,TRK,4x2,,Diesel,6T,"2,658,000"
Canter FE659 F6RB11,3907,TRK,4x2,,Diesel,7T,"3,191,600"
Canter FE71PBN4RB11 C & C,3907,BUS,4x2,,Diesel,4.7T,"3,120,400"
Canter FE83CEV 4D33/FE72,4890,TRK,4x2,,Diesel,,"3,930,000"
Canter FE84PE6RB11 C & C,3907,TRK,4x2,,Diesel,6.2T,"3,422,000"
Canter FE85PG6RB11 ,3907,TRK,4x2,,Diesel,7.2T,"4,060,000"
Canter FE70/71/73/80/FEA50,3000,TRK,4x2,,Diesel,,"3,306,000"
Canter FE84CE6R811,4214,TRK,4X2,,Diesel,,"3,538,000"
FH215,6557,TRK,4X2,,Diesel,9.9T,"5,162,000"
Canter FG84D,4890,TRK,4x2,,Diesel,4.0T,"3,633,382"
Challenger- K97WGRHFR ICT AUTO,2835,S/WAGON,4WD,,Diesel,,"3,897,000"
CHARIOT/GRANDIS,2400,S/WAGON,2WD,,Petrol,,"3,478,840"
Clipper,650,TRK,2WD,,Petrol,,"1,537,615"
DELICA 1.3L,1300,VAN,2WD,,Petrol,,"2,310,800"
DELICA 1.6L,1600,VAN,2WD,,Petrol,,"2,628,800"
DELICA 1.6L,1600,VAN,2WD,,Petrol,,"2,734,800"
DELICA 2.0L,2000,VAN,2WD,,Petrol,,"3,052,800"
DELICA 2.4L,2400,VAN,4WD,,Petrol,,"3,688,800"
DELICA 2.3L,2300,VAN,4WD,,Diesel,,"4,430,800"
Delica Van,2000,VAN,4WD,,Petrol,2.56T,"3,891,123"
DIAMANTE/MAGMA/VERADA/V3000,2000,SALOON,2WD,,Petrol,,"2,338,560"
DIAMANTE/MAGMA/VERADA/V3000,2500,SALOON,2WD,,Petrol,,"2,923,200"
DIAMANTE/MAGMA/VERADA/V3000,3000,SALOON,2WD,,Petrol,,"3,507,840"
DION EXCEED,2000,S/WAGON,2WD,,Petrol,,"2,925,590"
ECLIPSE CROSS DELUX-GK2WXTMHR (GLX CVT),2000,S/WAGON,2WD,,Petrol,,"4,350,000"
ECLIPSE CROSS SUPPER DELUX-GK2WXTMHR (GLX CVT),2000,S/WAGON,2WD,,Petrol,,"4,872,000"
EK Wagon 2wd,660,S/WAGON,2WD,,Petrol,,"1,666,412"
EK Wagon 4wd,660,S/WAGON,2WD,,Petrol,,"1,799,512"
TOPPO,650,S/WAGON,2WD,,Petrol,,"1,666,412"
FUSO BM117 - BUS/COWL CHASSIS TURBO CHARGED,7545,BUS,2WD,,Diesel,13T,"6,960,000"
FUSO BM117 - SEMI LUXURY BUS 3X2 61+1 SEAT TURBO CHARGED,7545,BUS,2WD,62,Diesel,13T,"9,860,000"
FUSO FH 215JBRB11 CC,6557,TRK,2WD,,Diesel,9.9T,"4,872,000"
FUSO FJ2523C TIPPER,6373,TRK,6X4,,Diesel,25T,"9,280,000"
FUSO FM 615LHRB11 (Chassis only),6557,BUS,4x2,,Diesel, ,"6,294,200"
FUSO FM 615LHRB11,6557,BUS,4x2,61,Diesel, ,"8,584,000"
FUSO FM 615LHRB11,6557,TRK,4x2,,Diesel,14T,"6,958,840"
FUSO FM 617,7545,TRK,4X2,,Diesel,14T,"7,308,000"
FUSO FM 627,7545,TRK,4X2,,Diesel,22T,"10,440,000"
FUSO FM 657LRB11 4x2 Turbo,7545,TRK,4x2,,Diesel,8T,"7,714,000"
FUSO FM 657,7545,TRK,4x2,,Diesel,15T,"7,656,000"
FUSO FN 617RSRB11 6x2,7545,TRK,6x2,,Diesel,21T,"9,280,000"
FUSO FN 617RSRB11 4x2,7545,TRK,4x2,,Diesel,14.3T,"7,273,200"
FUSO FK 618K 6D16,7545,TRK,,,Diesel,4T,"6,871,400"
FUSO FK 619K 6D17,8200,TRK,,,Diesel,4T,"7,200,000"
FUSO FN 627RSRB11 6x4,7545,TRK,6x4,,Diesel,22T,"8,750,000"
FUSO FY54JY,12800,TRK,6x4,,Diesel,,"17,707,939"
FUSO FV 515HRRB11,16031,PM,,,Diesel,24.8T,"7,760,000"
Fuso FV 517JR2RB1A 6x4,11945,PM,6x4,,Diesel,50T,"13,166,000"
Fuso 1217C,3907,TIPPER,4X2,,Diesel,13T,"6,635,021"
Fuso 2523C,6373,TIPPER,4x2,,Diesel,25T,"10,555,716"
Fuso 2523R,6373,TIPPER,6X2,,Diesel,25T,"10,254,124"
Fuso FZ4928,6370,PM,6X6,,Diesel,,"8,806,483"
Fuso FJ2528 wet mixer,6370,TRK,6x2,,Diesel,25T,"10,205,869"
FUSO 2528,6370,TRK,6X4,,Diesel,,"10,012,850"
FUSO 3128,,TRK,8X4,,Diesel,,"10,012,850"
FUSO 3128 CONCRETE MIXER,,TRK,8X4,,Diesel,,"12,770,856"
Galant - EA2ASNHER,1997,SALOON,2WD,,Petrol,,"2,586,800"
Galant - EA2ASRHER AUTO (K97),1997,SALOON,2WD,,Petrol,,"2,586,800"
Galant Fortis,1800,SALOON,2WD,,Petrol,,"3,036,400"
Galant Fortis,1800,SALOON,4WD,,Petrol,,"3,236,400"
Galant Fortis- CY4A,1997,SALOON,4WD,,Petrol,,"3,596,000"
GTO 3000GT,2970,SALOON,2WD,,Petrol,,"3,847,168"
L200 - K12TUNSRK,1997,SCAB,2WD,,Petrol,,"1,334,000"
L200 - K14TUNSRK,2477,SCAB,2WD,,Diesel,,"1,461,600"
L200 - K34TUNSRK,2477,SCAB,4WD,,Diesel,,"1,705,200"
L200 - KJ3TENJTR,2477,SCAB,2WD,,Diesel,,"2,552,000"
L200 - KL3TENJR,2477,SCAB,4WD,,Diesel,,"3,944,000"
L200 - K74TJENSR/AC (LA4),2477,DCAB,4WD,,Diesel,,"2,737,600"
L200 - KA4TNENMR,2477,SCAB,2WD,,Diesel,,"2,233,000"
L200 - KA4TNENMR TURBO CHARGED,2477,SCAB,2WD,,Diesel,,"2,494,000"
L200 - KB7TNENMR LSD,2800,SCAB,4WD,,Diesel,,"2,726,000"
L200 - KB4TGJNXZR TURBO CHARGED DID,2500,DCAB,4WD,,Diesel,,"3,958,500"
L200 - KB7TNJNMR,2835,DCAB,4WD,,Diesel,,"3,506,000"
L200 - KB8TGJRXZR TURBO CHARGED DID,3200,DCAB,4WD,,Diesel,,"4,745,400"
L200 - KL3TJNHFR MT,2500,DCAB,4WD,,Diesel,,"5,220,000"
L200 - KL3TJYHFR Highgrade AT,2500,DCAB,4WD,,Diesel,,"5,916,000"
L300 SWB Manual,2351,VAN,4WD,,Petrol,2.3T,"4,597,000"
Lancer - CS1ASNDEBR,1299,SALOON,2WD,,Petrol, ,"1,075,000"
Lancer - CS1ASNDR (H29),1299,SALOON,2WD,,Petrol,,"1,600,000"
Lancer Cedia LA-CS2A,1500,SALOON,2WD,,Petrol,,"1,698,000"
Lancer - CS3ASNJEBR,1684,SALOON,2WD,,Petrol,,"1,954,600"
Lancer - CS3ASTJER,1584,SALOON,2WD,,Petrol,,"2,140,200"
Lancer - CS3ASTJER,1830,SALOON,2WD,,Petrol,,"2,472,580"
Lancer - CS5AW,1830,S/WAGON,2WD,,Petrol,,"3,506,000"
Lancer Cedia LA-CS5A,1800,SALOON,2WD,,Petrol,,"2,813,000"
Lancer - CY1ASNSHR GLX MANUAL,1600,SALOON,2WD,,Petrol,,"2,842,000"
Lancer - CY1ASRSHR GLX AUTO,1600,SALOON,2WD,,Petrol,,"3,306,000"
Lancer - CY2ASNSHR GLX MANUAL,1499,SALOON,2WD,,Petrol,,"2,215,600"
Lancer - CY2ASNSHR GLX AUTO,1499,SALOON,2WD,,Petrol,,"2,447,600"
Lancer - CY2ASNSR,1468,SALOON,2WD,,Petrol,,"2,169,780"
Lancer - CY2ASRSHR,1499,SALOON,2WD,,Petrol,,"2,025,353"
Lancer - CY4ASTMHR GLS AUTO,2000,SALOON,2WD,,Petrol,,"3,596,000"
Lancer - CY4ASTXHR GT  AUTO,2000,SALOON,4WD,,Petrol,,"4,187,600"
Lancer Evolution MR GT GH-CT9W-LYGFZ AT,2000,S/WAGON,4WD,,Petrol,,"4,161,000"
Lancer Evolution MR GT GH-CT9W-LYGFZ MT,2000,S/WAGON,4WD,,Petrol,,"4,272,000"
Lancer Evolution IX GH-CT9A MT,2000,SALOON,4WD,,Petrol,,"4,399,625"
Lancer Evolution IX MR GSR GH-CT9A-SJGFZ MT,2000,SALOON,4WD,,Petrol,,"4,479,000"
Lancer Evolution X GSR-CBA-CZ4A AT,2000,SALOON,4WD,,Petrol,,"4,726,000"
Lancer Evolution X GSR-CBA-CZ4A MT,2000,SALOON,4WD,,Petrol,,"4,661,000"
Lancer cargo CS2V AUTO 1.2,1200,S/WAGON,2WD,,Petrol,,"2,766,060"
Lancer cargo CS2V AUTO 1.5,1500,S/WAGON,2WD,,Petrol,,"2,806,898"
Lancer cargo CS2V AUTO 1.6,1600,S/WAGON,4WD,,Petrol,,"3,351,398"
Lancer cargo CS2V AUTO 1.8,1800,S/WAGON,2WD,,Petrol,,"3,625,648"
Minica 3 Doors 2wd,660,S/WAGON,2WD,,Petrol,,"1,533,312"
Minica 4wd,660,S/WAGON,4WD,,Petrol,,"1,666,412"
Minica 2wd,660,S/WAGON,2WD,,Petrol,,"1,559,932"
Minica 5 Doors 4wd,660,S/WAGON,2WD,,Petrol,,"1,693,032"
MIRAGE,1192,HATCHBACK,2WD,,PETROL,," 2,247,267 "
MIRAGE,999,HATCHBACK,2WD,,PETROL,," 1,990,888 "
Nativa K97W GRHFR ICT AUTO,2835,S/WAGON,4WD,,Diesel,,"4,848,800"
OutLander - CU4WXRHEZR,2351,S/WAGON,4WD,,Petrol,,"4,282,000"
