,,,,,,,Discontinuation_Year
MAKE,Model,Engine Capacity,Body Type ,Drive configuration,seating,Fuel,Discontinuation_Year
BMW,535i F07 GT N55 SN21/22,3500,SALOON,2WD,,Petrol,2016
BMW,535d N57 SN81/82,3500,SALOON,2WD,,Petrol,2016
BMW,535d N57 SN61/62,3500,SALOON,2WD,,Petrol,2016
BMW,550i N63 FR91 FR92,5000,SALOON,2WD,,Petrol,2016
BMW,550i N63 SN41 SN42,5000,SALOON,2WD,,Petrol,2016
BMW,M5 E60,5500,SALOON,2WD,,Petrol,2010
BMW,M5 F10,4400,SALOON,2WD,,Petrol,2016
BMW,630i  E63 COU N52 EA11 EA12,2996,SALOON,2WD,,Petrol,2010
BMW,630i  E64 CAB N52 EA11 EA12,2996,SALOON,2WD,,Petrol,2010
BMW,640i F12 CAB N55 LW71/72 CONVERTIBLE,2996,Coupe,2WD,,Petrol,2018
BMW,640i F13 COU N55 lw31/32 COUPE,2996,Coupe,2WD,,Petrol,2018
BMW,640d F13 COU N57 LX71/72,2996,Coupe,2WD,,Diesel,2018
BMW,640d F12 CAB N57 LZ71/72 CONVERTIBLE,2996,Coupe,2WD,,Diesel,2018
BMW,650i  N63 F12 CAB LZ31/32 CONVERTIBLE,4800,Coupe,2WD,,Petrol,2018
BMW,650i  xDRIVE F12 CAB N63 LZ51 CONVERTIBLE,4800,Coupe,2WD,,Petrol,2018
BMW,650i  N63 F13 COU LX31/32,4800,Coupe,2WD,,Petrol,2018
BMW,650i  Xdrive N63 F13 COU LX51,4800,Coupe,2WD,,Petrol,2018
BMW,730i F01 LIM N52 KA21,2979,SALOON,2WD,,Petrol,2015
BMW,730i F02 LIM N52 KB21 KB2,2979,SALOON,2WD,,Petrol,2015
BMW,730d N57 F01 LIM KM21/22,3000,SALOON,2WD,,Diesel,2015
BMW,730Ld N57 F02 LIM KM41 KM42,3000,SALOON,2WD,,Diesel,2015
BMW,735i,3500,SALOON,2WD,,Petrol,2008
BMW,740i N54 KA41 KA42,4000,SALOON,2WD,,Petrol,2012
BMW,740Li N54 KB41 KB4,4000,SALOON,2WD,,Petrol,2012
BMW,745ia,4400,SALOON,2WD,,Petrol,2008
BMW,750i N63 F01 LIM KA81 KA82,5000,SALOON,2WD,,Petrol,2015
BMW,750i xDRIVE N63 KC61,5000,SALOON,2WD,,Petrol,2015
BMW,750Li N63 F02 LIM KB81/82,5000,SALOON,2WD,,Petrol,2015
BMW,750Li Xdrive N63 KC81,5000,SALOON,2WD,,Petrol,2015
BMW,760i N74 F01 LIM KA01,6000,SALOON,2WD,,Petrol,2015
BMW,760Li N74 KB01 KB02,6000,SALOON,2WD,,Petrol,2015
BMW,X1 E84 SAV SDRIVE 18i N46 VL31/32 Manual/Auto,2000,S/WAGON,2WD,,Petrol,2015
BMW,X1 E84 SAV SDRIVE 20i N20 VL91/92 Manual,2000,S/WAGON,2WD,,Petrol,2015
BMW,X1 E84 SAV XDRIVE 20i N20 VM91/92 Manual,2000,S/WAGON,2WD,,Petrol,2015
BMW,X1 E84 SAV XDRIVE 28i N20 VM11/12 Auto,3000,S/WAGON,2WD,,Petrol,2015
BMW,X1 E84 SAV SDRIVE 18d N47 VN11/12 Manual,2000,S/WAGON,2WD,,Diesel,2015
BMW,X1 E84 SAV XDRIVE 18d N47 VP11/12 Manual,2000,S/WAGON,2WD,,Diesel,2015
BMW,X1 E84 SAV SDRIVE 20d N47 VN31/32 Manual,2000,S/WAGON,2WD,,Diesel,2015
BMW,X1 E84 SAV XDRIVE 20d N47 VP31/32 Manual,2000,S/WAGON,4WD,,Diesel,2015
BMW,X1 E84 SAV XDRIVE 23d N47 VP51/52 Auto,2000,S/WAGON,4WD,,Diesel,2015
BMW,X3 F25 SAV XDRIVE20i N20 WX31/32 MANUAL,2000,S/WAGON,4WD,,Petrol,2017
BMW,X3 F25 SAV XDRIVE20d N47 WY31/32 MANUAL,2000,S/WAGON,4WD,,Diesel,2017
BMW,X3 F25 SAV GH-PA25,2500,S/WAGON,4WD,,Petrol,2017
BMW,X3 F25 SAV XDRIVE28i N52 WX51/52 AUTO,3000,S/WAGON,4WD,,Petrol,2017
BMW,X3 F25 SAV GH-PA30,3000,S/WAGON,4WD,,Petrol,2017
BMW,X3 F25 SAV XDRIVE30d N57 WY51/52 AUTO,3000,S/WAGON,4WD,,Diesel,2017
BMW,X3 F25 SAV XDRIVE35i N55 WX71/72 AUTO,3000,S/WAGON,4WD,,Petrol,2017
BMW,X3 F25 SAV XDRIVE35d N57 WY71/72 AUTO,3000,S/WAGON,4WD,,Diesel,2017
BMW,X3 F25 20d,2000,S/WAGON,4WD,,Diesel,2017
BMW,X3 F25 20i,2000,S/WAGON,4WD,,Petrol,2017
BMW,X5 E70 SAV XDRIVE 30D N57 ZW41/42 Auto,3000,S/WAGON,4WD,,Diesel,2013
BMW,X5 E70 SAV XDRIVE 35i N55 ZV41/42 Auto,3000,S/WAGON,4WD,,Petrol,2013
BMW,X5 E70 SAV XDRIVE 5i N63 ZV81/82 Auto,4400,S/WAGON,4WD,,Petrol,2013
BMW,X5 E70 SAV M S63 GY01/02 Auto,4400,S/WAGON,4WD,,Petrol,2013
BMW,X5 E70 SAV XDRIVE 48i Auto,4799,S/WAGON,4WD,,Petrol,2013
BMW,X5 F15 30d,3000,S/WAGON,4WD,,Diesel,2018
BMW,X5 F15 25d,2000,S/WAGON,4WD,,Diesel,2018
BMW,X6 E71 SAV XDRIVE 30d N57 FH61/62,3000,S/WAGON,4WD,,Diesel,2014
BMW,X6 E71 SAV XDRIVE 35i N55 FG21/22,3000,S/WAGON,4WD,,Petrol,2014
BMW,X6 E71 SAV XDRIVE 50i N63 FG81/82,4400,S/WAGON,4WD,,Petrol,2014
BMW,X6 E71 SAV M S63 GZ01/02,4400,S/WAGON,4WD,,Petrol,2014
BMW,M3 S65 KG91 KG92,4799,S/WAGON,4WD,,Petrol,2013
BMW,M3 S65 DX91 DX92,4799,S/WAGON,4WD,,Petrol,2013
BMW,M3 S65 PM91 PM92,4799,S/WAGON,4WD,,Petrol,2013
BMW,M6 S85 EH91 EH92,4799,S/WAGON,4WD,,Petrol,2010
BMW,M6 S85 EK91 EK92,4799,S/WAGON,4WD,,Petrol,2010
BMW,Z4 E89 ROA Sdrive 18i N20 LL31/32 COVERTIBLE,2300,Coupe,2WD,2DR,Petrol,2016
BMW,Z4 E89 ROA Sdrive 28i N20 LL51/52 CONVERTIBLE,2500,Coupe,2WD,2DR,Petrol,2016
BMW,Z4 E89 ROA Sdrive 35i N54 LM71/72 CONVERTIBLE,3000,Coupe,2WD,2DR,Petrol,2016
BMW,Z4 E89 ROA Sdrive 35is N54 LM11/12 CONVERTIBLE,3000,Coupe,2WD,2DR,Petrol,2016
BMW,BMW Mini cooper,1596,HATCHBACK,2WD,,Petrol,2006
BMW,Bmw Z3 Roadster,1895,Coupe,2WD,2,Petrol,2002
CADILLAC,CTS SPORT SEDAN AUTO,3000,SALOON,4WD,,Petrol,2019
CADILLAC,CTS V SEDAN MANUAL V8,6200,SALOON,4WD,,Petrol,2019
CADILLAC,CTS COUPE AUTO V6 RWD,3600,COUPE,4WD,,Petrol,2019
CADILLAC,CTS V COUPE AUTO V8 RWD,6200,COUPE,4WD,,Petrol,2019
CADILLAC,CTS SPORTS WAGON MANUAL V8 RWD SUPERCHARGED,6200,S/WAGON,4WD,,Petrol,2014
CADILLAC,CTS V WAGON MANUAL V8 RWD SUPERCHARGED,6200,S/WAGON,4WD,,Petrol,2014
CADILLAC,STS MANUAL V8 AWD,3600,SALOON,4WD,,Petrol,2011
CADILLAC,DTS AUTO V8,4600,SALOON,4WD,,Petrol,2011
CADILLAC,SRX CROSSOVER FWD AUTO MANUAL V6,3000,S/WAGON,4WD,,Petrol,2016
CADILLAC,ESCALADE V8 AWD AUTO,6200,S/WAGON,4WD,,Petrol,2014
